ShipmentID,SupplierID,OrderDate,ExpectedDelivery,ActualDelivery,Status
SHP00001,SUP078,2024-05-15,2024-05-22,2024-05-23,Delayed
SHP00002,SUP002,2024-05-30,2024-06-09,2024-06-13,Delayed
SHP00003,SUP073,2024-06-15,2024-06-25,2024-06-26,Delayed
SHP00004,SUP037,2024-01-22,2024-02-04,2024-02-06,Delayed
SHP00005,SUP020,2024-01-03,2024-01-17,2024-01-19,Delayed
SHP00006,SUP026,2024-04-03,2024-04-16,2024-04-14,Delivered
SHP00007,SUP029,2024-05-10,2024-05-22,2024-05-20,Delivered
SHP00008,SUP001,2024-05-24,2024-06-06,2024-06-06,Delivered
SHP00009,SUP035,2024-01-03,2024-01-12,2024-01-20,Delayed
SHP00010,SUP070,2024-05-26,2024-06-07,2024-06-07,Delivered
SHP00011,SUP059,2024-04-23,2024-05-05,2024-05-04,Delivered
SHP00012,SUP069,2024-02-09,2024-02-20,2024-02-29,Delayed
SHP00013,SUP033,2024-04-19,2024-04-30,2024-04-29,Delivered
SHP00014,SUP051,2024-03-11,2024-03-22,2024-03-25,Delayed
SHP00015,SUP078,2024-02-14,2024-02-21,2024-02-19,Delivered
SHP00016,SUP012,2024-04-20,2024-04-29,2024-05-02,Delayed
SHP00017,SUP020,2024-04-20,2024-04-29,2024-05-01,Delayed
SHP00018,SUP053,2024-02-09,2024-02-20,2024-02-23,Delayed
SHP00019,SUP088,2024-06-18,2024-06-28,2024-06-30,Delayed
SHP00020,SUP043,2024-06-07,2024-06-14,2024-06-18,Delayed
SHP00021,SUP098,2024-03-24,2024-04-03,2024-04-01,Delivered
SHP00022,SUP089,2024-04-29,2024-05-07,2024-05-07,Delivered
SHP00023,SUP050,2024-05-22,2024-05-31,2024-06-03,Delayed
SHP00024,SUP029,2024-01-05,2024-01-14,2024-01-12,Delivered
SHP00025,SUP057,2024-05-09,2024-05-19,2024-05-27,Delayed
SHP00026,SUP039,2024-03-14,2024-03-21,2024-03-29,Delayed
SHP00027,SUP095,2024-01-10,2024-01-19,2024-01-23,Delayed
SHP00028,SUP056,2024-01-08,2024-01-18,2024-01-19,Delayed
SHP00029,SUP043,2024-01-16,2024-01-28,2024-01-28,Delivered
SHP00030,SUP050,2024-03-28,2024-04-09,2024-04-16,Delayed
SHP00031,SUP023,2024-02-14,2024-02-27,2024-03-04,Delayed
SHP00032,SUP044,2024-01-13,2024-01-20,2024-01-18,Delivered
SHP00033,SUP038,2024-01-08,2024-01-18,2024-01-23,Delayed
SHP00034,SUP084,2024-05-27,2024-06-09,2024-06-07,Delivered
SHP00035,SUP023,2024-04-29,2024-05-11,2024-05-13,Delayed
SHP00036,SUP045,2024-01-17,2024-01-24,2024-01-31,Delayed
SHP00037,SUP052,2024-03-26,2024-04-09,2024-04-14,Delayed
SHP00038,SUP080,2024-01-02,2024-01-15,2024-01-18,Delayed
SHP00039,SUP050,2024-04-19,2024-05-03,2024-05-07,Delayed
SHP00040,SUP008,2024-01-07,2024-01-18,2024-01-26,Delayed
SHP00041,SUP085,2024-03-04,2024-03-11,2024-03-16,Delayed
SHP00042,SUP001,2024-05-10,2024-05-18,2024-05-21,Delayed
SHP00043,SUP008,2024-04-14,2024-04-25,2024-05-03,Delayed
SHP00044,SUP029,2024-05-26,2024-06-08,2024-06-11,Delayed
SHP00045,SUP096,2024-01-18,2024-01-28,2024-02-05,Delayed
SHP00046,SUP005,2024-05-31,2024-06-11,2024-06-14,Delayed
SHP00047,SUP086,2024-06-19,2024-06-30,2024-07-02,Delayed
SHP00048,SUP047,2024-02-04,2024-02-17,2024-02-22,Delayed
SHP00049,SUP034,2024-02-12,2024-02-22,2024-02-21,Delivered
SHP00050,SUP065,2024-01-09,2024-01-19,2024-01-23,Delayed
SHP00051,SUP055,2024-02-24,2024-03-07,2024-03-08,Delayed
SHP00052,SUP090,2024-06-29,2024-07-07,2024-07-05,Delivered
SHP00053,SUP043,2024-02-02,2024-02-12,2024-02-14,Delayed
SHP00054,SUP074,2024-02-03,2024-02-12,2024-02-12,Delivered
SHP00055,SUP030,2024-01-25,2024-02-03,2024-02-04,Delayed
SHP00056,SUP082,2024-02-23,2024-03-02,2024-03-06,Delayed
SHP00057,SUP017,2024-01-24,2024-01-31,2024-02-02,Delayed
SHP00058,SUP026,2024-01-25,2024-02-07,2024-02-08,Delayed
SHP00059,SUP008,2024-02-20,2024-02-27,2024-02-25,Delivered
SHP00060,SUP047,2024-03-01,2024-03-10,2024-03-13,Delayed
SHP00061,SUP076,2024-03-11,2024-03-21,2024-03-29,Delayed
SHP00062,SUP091,2024-03-22,2024-03-30,2024-04-06,Delayed
SHP00063,SUP072,2024-05-27,2024-06-03,2024-06-06,Delayed
SHP00064,SUP089,2024-06-24,2024-07-01,2024-07-05,Delayed
SHP00065,SUP046,2024-04-08,2024-04-22,2024-04-20,Delivered
SHP00066,SUP068,2024-05-24,2024-06-06,2024-06-07,Delayed
SHP00067,SUP033,2024-06-06,2024-06-17,2024-06-26,Delayed
SHP00068,SUP001,2024-04-22,2024-05-01,2024-05-07,Delayed
SHP00069,SUP019,2024-03-23,2024-04-02,2024-04-11,Delayed
SHP00070,SUP031,2024-06-01,2024-06-09,2024-06-16,Delayed
SHP00071,SUP080,2024-02-22,2024-02-29,2024-03-03,Delayed
SHP00072,SUP014,2024-01-21,2024-02-03,2024-02-02,Delivered
SHP00073,SUP053,2024-06-01,2024-06-12,2024-06-13,Delayed
SHP00074,SUP048,2024-04-02,2024-04-11,2024-04-14,Delayed
SHP00075,SUP069,2024-03-21,2024-03-30,2024-03-31,Delayed
SHP00076,SUP090,2024-03-16,2024-03-29,2024-04-05,Delayed
SHP00077,SUP062,2024-03-03,2024-03-17,2024-03-21,Delayed
SHP00078,SUP092,2024-02-03,2024-02-11,2024-02-20,Delayed
SHP00079,SUP066,2024-05-16,2024-05-23,2024-05-23,Delivered
SHP00080,SUP064,2024-02-21,2024-02-29,2024-03-03,Delayed
SHP00081,SUP070,2024-05-17,2024-05-30,2024-06-08,Delayed
SHP00082,SUP063,2024-03-25,2024-04-07,2024-04-08,Delayed
SHP00083,SUP073,2024-06-01,2024-06-09,2024-06-09,Delivered
SHP00084,SUP033,2024-02-22,2024-03-05,2024-03-14,Delayed
SHP00085,SUP041,2024-05-16,2024-05-27,2024-05-27,Delivered
SHP00086,SUP089,2024-04-27,2024-05-06,2024-05-05,Delivered
SHP00087,SUP048,2024-04-13,2024-04-25,2024-05-03,Delayed
SHP00088,SUP013,2024-05-13,2024-05-23,2024-05-23,Delivered
SHP00089,SUP073,2024-05-14,2024-05-23,2024-06-01,Delayed
SHP00090,SUP077,2024-05-08,2024-05-17,2024-05-24,Delayed
SHP00091,SUP031,2024-06-12,2024-06-23,2024-06-21,Delivered
SHP00092,SUP075,2024-03-24,2024-04-03,2024-04-03,Delivered
SHP00093,SUP068,2024-04-30,2024-05-07,2024-05-13,Delayed
SHP00094,SUP098,2024-06-16,2024-06-26,2024-06-27,Delayed
SHP00095,SUP004,2024-05-09,2024-05-16,2024-05-16,Delivered
SHP00096,SUP019,2024-01-31,2024-02-14,2024-02-19,Delayed
SHP00097,SUP070,2024-04-02,2024-04-16,2024-04-14,Delivered
SHP00098,SUP098,2024-06-28,2024-07-08,2024-07-10,Delayed
SHP00099,SUP082,2024-02-24,2024-03-03,2024-03-01,Delivered
SHP00100,SUP013,2024-05-20,2024-06-02,2024-06-06,Delayed
SHP00101,SUP023,2024-02-11,2024-02-21,2024-02-23,Delayed
SHP00102,SUP083,2024-03-10,2024-03-22,2024-03-21,Delivered
SHP00103,SUP075,2024-05-15,2024-05-27,2024-06-05,Delayed
SHP00104,SUP001,2024-01-31,2024-02-11,2024-02-09,Delivered
SHP00105,SUP088,2024-03-06,2024-03-19,2024-03-27,Delayed
SHP00106,SUP054,2024-03-18,2024-03-31,2024-04-04,Delayed
SHP00107,SUP071,2024-02-02,2024-02-09,2024-02-18,Delayed
SHP00108,SUP089,2024-03-21,2024-03-30,2024-03-28,Delivered
SHP00109,SUP085,2024-01-24,2024-02-04,2024-02-04,Delivered
SHP00110,SUP015,2024-04-27,2024-05-09,2024-05-17,Delayed
SHP00111,SUP065,2024-03-05,2024-03-17,2024-03-20,Delayed
SHP00112,SUP076,2024-03-02,2024-03-16,2024-03-19,Delayed
SHP00113,SUP071,2024-05-04,2024-05-11,2024-05-15,Delayed
SHP00114,SUP015,2024-04-04,2024-04-16,2024-04-24,Delayed
SHP00115,SUP021,2024-02-03,2024-02-15,2024-02-23,Delayed
SHP00116,SUP019,2024-03-04,2024-03-11,2024-03-09,Delivered
SHP00117,SUP060,2024-03-13,2024-03-25,2024-03-29,Delayed
SHP00118,SUP093,2024-05-15,2024-05-24,2024-05-23,Delivered
SHP00119,SUP089,2024-01-31,2024-02-08,2024-02-11,Delayed
SHP00120,SUP033,2024-04-07,2024-04-18,2024-04-23,Delayed
SHP00121,SUP049,2024-01-23,2024-02-01,2024-02-03,Delayed
SHP00122,SUP096,2024-03-05,2024-03-14,2024-03-21,Delayed
SHP00123,SUP035,2024-01-14,2024-01-22,2024-01-22,Delivered
SHP00124,SUP044,2024-05-23,2024-06-06,2024-06-14,Delayed
SHP00125,SUP090,2024-04-25,2024-05-08,2024-05-13,Delayed
SHP00126,SUP011,2024-05-03,2024-05-14,2024-05-19,Delayed
SHP00127,SUP099,2024-05-05,2024-05-19,2024-05-20,Delayed
SHP00128,SUP072,2024-03-03,2024-03-17,2024-03-22,Delayed
SHP00129,SUP078,2024-06-19,2024-06-28,2024-06-30,Delayed
SHP00130,SUP074,2024-06-18,2024-06-30,2024-07-08,Delayed
SHP00131,SUP066,2024-04-18,2024-05-02,2024-05-04,Delayed
SHP00132,SUP046,2024-02-02,2024-02-10,2024-02-10,Delivered
SHP00133,SUP009,2024-04-02,2024-04-15,2024-04-19,Delayed
SHP00134,SUP003,2024-03-27,2024-04-07,2024-04-15,Delayed
SHP00135,SUP085,2024-05-18,2024-05-28,2024-06-05,Delayed
SHP00136,SUP026,2024-01-28,2024-02-04,2024-02-10,Delayed
SHP00137,SUP072,2024-06-25,2024-07-07,2024-07-13,Delayed
SHP00138,SUP048,2024-03-22,2024-03-30,2024-03-28,Delivered
SHP00139,SUP066,2024-02-05,2024-02-12,2024-02-10,Delivered
SHP00140,SUP070,2024-01-13,2024-01-26,2024-02-02,Delayed
SHP00141,SUP028,2024-05-07,2024-05-20,2024-05-29,Delayed
SHP00142,SUP093,2024-06-15,2024-06-25,2024-07-04,Delayed
SHP00143,SUP026,2024-01-03,2024-01-17,2024-01-25,Delayed
SHP00144,SUP025,2024-05-27,2024-06-05,2024-06-07,Delayed
SHP00145,SUP012,2024-04-30,2024-05-09,2024-05-07,Delivered
SHP00146,SUP005,2024-04-24,2024-05-05,2024-05-06,Delayed
SHP00147,SUP098,2024-02-17,2024-02-25,2024-03-05,Delayed
SHP00148,SUP048,2024-05-15,2024-05-23,2024-05-21,Delivered
SHP00149,SUP037,2024-03-29,2024-04-12,2024-04-11,Delivered
SHP00150,SUP079,2024-01-03,2024-01-16,2024-01-15,Delivered
SHP00151,SUP044,2024-02-17,2024-02-28,2024-02-29,Delayed
SHP00152,SUP100,2024-04-19,2024-05-03,2024-05-08,Delayed
SHP00153,SUP015,2024-01-04,2024-01-11,2024-01-10,Delivered
SHP00154,SUP043,2024-05-10,2024-05-19,2024-05-25,Delayed
SHP00155,SUP048,2024-06-07,2024-06-16,2024-06-25,Delayed
SHP00156,SUP087,2024-01-18,2024-01-31,2024-02-06,Delayed
SHP00157,SUP070,2024-06-11,2024-06-19,2024-06-18,Delivered
SHP00158,SUP046,2024-03-08,2024-03-21,2024-03-19,Delivered
SHP00159,SUP043,2024-04-20,2024-05-04,2024-05-11,Delayed
